c,opponent,run_id,agent_score,opponent_score,score_diff,win,turns,replay_path
0.6,starter_baseline,3,51.0,34.0,17.0,1,25,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.60/starter_baseline/run_3.replay
0.6,defensive_opponent,1,44.0,0.0,44.0,1,35,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.60/defensive_opponent/run_1.replay
0.6,defensive_opponent,2,44.0,0.0,44.0,1,35,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.60/defensive_opponent/run_2.replay
0.6,defensive_opponent,3,44.0,0.0,44.0,1,35,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.60/defensive_opponent/run_3.replay
0.6,aggressive_opponent,1,60.0,27.0,33.0,1,45,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.60/aggressive_opponent/run_1.replay
0.6,aggressive_opponent,2,49.0,10.0,39.0,1,33,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.60/aggressive_opponent/run_2.replay
0.6,aggressive_opponent,3,43.0,24.0,19.0,1,43,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.60/aggressive_opponent/run_3.replay
0.7,starter_baseline,1,10.0,41.0,-31.0,0,16,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.70/starter_baseline/run_1.replay
0.7,starter_baseline,2,10.0,41.0,-31.0,0,16,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.70/starter_baseline/run_2.replay
0.7,starter_baseline,3,8.0,40.0,-32.0,0,17,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.70/starter_baseline/run_3.replay
0.7,defensive_opponent,1,41.0,0.0,41.0,1,49,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.70/defensive_opponent/run_1.replay
0.7,defensive_opponent,2,40.0,0.0,40.0,1,45,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.70/defensive_opponent/run_2.replay
0.7,defensive_opponent,3,41.0,0.0,41.0,1,49,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.70/defensive_opponent/run_3.replay
0.7,aggressive_opponent,1,41.0,10.0,31.0,1,48,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.70/aggressive_opponent/run_1.replay
0.7,aggressive_opponent,2,17.0,40.0,-23.0,0,60,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.70/aggressive_opponent/run_2.replay
0.7,aggressive_opponent,3,16.0,41.0,-25.0,0,60,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.70/aggressive_opponent/run_3.replay
0.8,starter_baseline,1,8.0,41.0,-33.0,0,16,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.80/starter_baseline/run_1.replay
